datetime,open,high,low,close,slow,fast,Volume,Volume MA
2023-07-03T19:37:00-04:00,15337.75,15339,15337.75,15339,15337.55748,15337.75648,18,18.1
2023-07-03T19:38:00-04:00,15338.5,15338.75,15337.5,15338.75,15337.39406,15338.17593,19,18.8
2023-07-03T19:39:00-04:00,15338.75,15338.75,15338.25,15338.25,15337.3961,15338.4213,7,18.95
2023-07-03T19:40:00-04:00,15338,15338.75,15338,15338.75,15337.55163,15338.57222,12,19.45
2023-07-03T19:41:00-04:00,15339,15339.25,15339,15339.25,15337.8423,15338.8,3,18.55
2023-07-03T19:42:00-04:00,15339,15340.25,15339,15340.25,15338.32312,15339.37778,22,17.8
2023-07-03T19:43:00-04:00,15339.75,15340.25,15339.75,15339.75,15338.83691,15339.88426,10,17.1
2023-07-03T19:44:00-04:00,15339.75,15340,15339,15340,15339.32081,15340.225,14,16.05
2023-07-03T19:45:00-04:00,15339.75,15340.5,15339.5,15339.5,15339.64843,15340.17593,10,15.65
2023-07-03T19:46:00-04:00,15339.25,15339.25,15338.25,15338.25,15339.66726,15339.55093,21,16.5
2023-07-03T19:47:00-04:00,15338.25,15338.25,15336.25,15338,15339.45266,15338.70185,65,19.6
2023-07-03T19:48:00-04:00,15338,15338.25,15337,15338.25,15339.12492,15338.04352,17,20.3
2023-07-03T19:49:00-04:00,15337.75,15337.75,15334.25,15335.25,15338.37441,15336.86019,111,25.25
2023-07-03T19:50:00-04:00,15335.5,15336.5,15335.5,15335.75,15337.48826,15335.81019,35,24.55
2023-07-03T19:51:00-04:00,15335.5,15337.25,15335.5,15337.25,15336.81195,15335.53704,28,25.1
2023-07-03T19:52:00-04:00,15336.75,15337.25,15335.75,15336.75,15336.31487,15335.775,33,24.4
2023-07-03T19:53:00-04:00,15336.5,15336.75,15336,15336.25,15335.99085,15336.12778,20,24.4
2023-07-03T19:54:00-04:00,15336.25,15336.25,15335.5,15336,15335.76593,15336.20556,22,24.9
2023-07-03T19:55:00-04:00,15336,15336.25,15334.5,15335.75,15335.57224,15335.98889,55,26.45
2023-07-03T19:56:00-04:00,15336,15336.25,15335.25,15335.5,15335.41179,15335.65463,7,26.45
2023-07-03T19:57:00-04:00,15336,15336.5,15335.75,15336.25,15335.42087,15335.62778,24,26.75
2023-07-03T19:58:00-04:00,15336,15337,15336,15336.25,15335.5184,15335.80926,18,26.7
2023-07-03T19:59:00-04:00,15336.25,15338,15336.25,15337.25,15335.77778,15336.36944,46,28.65
2023-07-03T20:00:00-04:00,15337.5,15338,15334.25,15337.25,15336.13256,15336.97963,134,34.75
2023-07-03T20:01:00-04:00,15337,15337,15335,15336.75,15336.44342,15337.2713,54,37.3
2023-07-03T20:02:00-04:00,15336.25,15339,15336.25,15337.5,15336.79299,15337.47685,49,38.65
2023-07-03T20:03:00-04:00,15337.75,15340.5,15337.75,15339.75,15337.41616,15338.25463,54,40.85
2023-07-03T20:04:00-04:00,15339.25,15341,15338.75,15340.5,15338.26583,15339.48333,39,42.1
2023-07-03T20:05:00-04:00,15340.25,15340.5,15339.25,15339.25,15339.00733,15340.26389,18,42.5
2023-07-03T20:06:00-04:00,15339.5,15342.25,15339,15341.25,15339.82625,15341.01019,49,43.9
2023-07-03T20:07:00-04:00,15341,15342,15340,15341.25,15340.57475,15341.48241,22,41.75
2023-07-03T20:08:00-04:00,15342,15344,15341.25,15344,15341.57071,15342.60278,50,43.4
2023-07-03T20:09:00-04:00,15344,15347.5,15344,15346.75,15343.0134,15344.6537,88,42.25
2023-07-03T20:10:00-04:00,15346.5,15346.75,15345.75,15346.75,15344.55529,15346.67037,32,42.1
2023-07-03T20:11:00-04:00,15346.5,15347,15345.75,15345.75,15345.83501,15347.70185,37,42.55
2023-07-03T20:12:00-04:00,15345.75,15346.5,15345,15345.75,15346.74434,15347.66759,41,42.95
2023-07-03T20:13:00-04:00,15346.25,15348.5,15346.25,15347.75,15347.55049,15347.63981,40,43.95
2023-07-03T20:14:00-04:00,15348,15348.5,15347.75,15347.75,15348.20464,15347.80093,18,43.75
2023-07-03T20:15:00-04:00,15348.75,15349.25,15347.25,15347.25,15348.62798,15347.95741,74,44.7
2023-07-03T20:16:00-04:00,15347.25,15347.25,15345.5,15346.5,15348.68358,15347.69537,32,45.95
2023-07-03T20:17:00-04:00,15346.25,15348.5,15345.75,15348.25,15348.66136,15347.68426,44,46.95
2023-07-03T20:18:00-04:00,15348.75,15348.75,15346,15346.75,15348.44888,15347.45648,46,48.35
2023-07-03T20:19:00-04:00,15346.25,15348,15346,15348,15348.33002,15347.5713,40,48.05
2023-07-03T20:20:00-04:00,15348.5,15349.25,15346.25,15349.25,15348.4441,15348.16574,53,44
2023-07-03T20:21:00-04:00,15349.25,15351.5,15349.25,15351.5,15348.9499,15349.56667,74,45
2023-07-03T20:22:00-04:00,15351.25,15351.75,15350.25,15350.25,15349.54304,15350.7287,28,43.95
2023-07-03T20:23:00-04:00,15350,15350.5,15348.75,15349.75,15350.03915,15351.14074,53,43.9
2023-07-03T20:24:00-04:00,15349.25,15350,15348.25,15348.25,15350.19297,15350.42315,21,43
2023-07-03T20:25:00-04:00,15348.75,15350,15348.75,15349.25,15350.18125,15349.55741,17,42.95
2023-07-03T20:26:00-04:00,15349,15349.75,15347.5,15347.5,15349.86722,15348.49537,21,41.55
2023-07-03T20:27:00-04:00,15347.25,15347.5,15346.25,15346.5,15349.22079,15347.35741,23,41.6
2023-07-03T20:28:00-04:00,15346.25,15347,15346,15346.75,15348.43797,15346.50463,11,39.65
2023-07-03T20:29:00-04:00,15346.75,15348,15346.75,15347,15347.66399,15346.11667,24,36.45
2023-07-03T20:30:00-04:00,15347.5,15347.75,15346.5,15346.75,15347.02132,15346.12685,12,35.45
2023-07-03T20:31:00-04:00,15346.75,15346.75,15346,15346.75,15346.56497,15346.31296,23,34.75
2023-07-03T20:32:00-04:00,15347,15348,15346.75,15347.25,15346.35065,15346.64167,21,33.75
2023-07-03T20:33:00-04:00,15347.5,15348.5,15347.5,15348,15346.41042,15347.18241,12,32.35
2023-07-03T20:34:00-04:00,15348,15348.25,15347.25,15348,15346.67306,15347.74722,6,31.75
2023-07-03T20:35:00-04:00,15347.5,15348.5,15346.5,15346.5,15346.84634,15347.7037,23,29.2
2023-07-03T20:36:00-04:00,15346.75,15348.75,15346.75,15348.5,15347.16816,15347.84722,8,28
2023-07-03T20:37:00-04:00,15348.75,15348.75,15348,15348,15347.48129,15347.95093,14,26.5
2023-07-03T20:38:00-04:00,15347.25,15347.25,15345.75,15345.75,15347.46558,15347.42963,45,26.45
2023-07-03T20:39:00-04:00,15346.25,15347.5,15345.75,15347.5,15347.45368,15347.11944,38,26.35
2023-07-03T20:40:00-04:00,15347.25,15347.25,15346,15346,15347.21078,15346.53796,21,24.75
2023-07-03T20:41:00-04:00,15346,15347,15346,15346.25,15346.89442,15346.15741,5,21.3
2023-07-03T20:42:00-04:00,15346.5,15346.5,15345,15345.25,15346.46754,15345.6713,27,21.25
2023-07-03T20:43:00-04:00,15345.25,15345.25,15344.75,15344.75,15345.92639,15345.06944,4,18.8
2023-07-03T20:44:00-04:00,15344.75,15345.25,15343.5,15344,15345.27592,15344.34907,36,19.55
2023-07-03T20:45:00-04:00,15344.5,15345,15343,15344.5,15344.7039,15343.91667,28,20.1
2023-07-03T20:46:00-04:00,15345,15345,15344,15344,15344.22004,15343.68426,21,20.1
2023-07-03T20:47:00-04:00,15343.5,15346.25,15343.5,15345.25,15343.99673,15344.00185,65,22.2
2023-07-03T20:48:00-04:00,15345.25,15345.5,15345,15345,15343.97384,15344.48611,3,21.8
2023-07-03T20:49:00-04:00,15345,15346,15345,15345.25,15344.10727,15344.98241,15,21.35
2023-07-03T20:50:00-04:00,15345,15346,15345,15346,15344.4441,15345.54167,10,21.25
2023-07-03T20:51:00-04:00,15346.25,15347.5,15346.25,15347,15345.00059,15346.275,20,21.1
2023-07-03T20:52:00-04:00,15347,15347,15346.25,15347,15345.65784,15346.96481,17,20.9
2023-07-03T20:53:00-04:00,15347.25,15347.25,15345.25,15345.75,15346.12635,15347.03333,12,20.9
2023-07-03T20:54:00-04:00,15345.75,15346.5,15345.75,15345.75,15346.38738,15346.65278,22,21.7
2023-07-03T20:55:00-04:00,15345.75,15346.25,15345.75,15345.75,15346.45435,15346.10741,5,20.8
2023-07-03T20:56:00-04:00,15345.75,15345.75,15345,15345.5,15346.3674,15345.64722,13,21.05
2023-07-03T20:57:00-04:00,15345,15345,15343.75,15344.25,15346.03973,15345.02407,16,21.15
2023-07-03T20:58:00-04:00,15344.5,15345.75,15344.5,15345.75,15345.75829,15344.86759,7,19.25
2023-07-03T20:59:00-04:00,15345.5,15345.5,15343.25,15343.5,15345.24886,15344.36204,27,18.7
2023-07-03T21:00:00-04:00,15343,15344.25,15342,15342.5,15344.5297,15343.50463,55,20.4
2023-07-03T21:01:00-04:00,15343,15343,15341.75,15343,15343.83858,15342.75556,19,21.1
2023-07-03T21:02:00-04:00,15343,15346.75,15343,15345.75,15343.58427,15343.14444,30,21.25
2023-07-03T21:03:00-04:00,15346,15346,15344.75,15345,15343.61552,15344.04537,29,22.5
2023-07-03T21:04:00-04:00,15345,15345.5,15345,15345.25,15343.87404,15345.01481,15,21.45
2023-07-03T21:05:00-04:00,15344.75,15344.75,15342.75,15342.75,15343.90611,15344.82315,24,21.25
2023-07-03T21:06:00-04:00,15342.75,15344,15342.75,15344,15343.88826,15344.28611,12,20.8
2023-07-03T21:07:00-04:00,15343.75,15344.5,15343.25,15343.5,15343.83199,15343.67407,25,18.8
2023-07-03T21:08:00-04:00,15343.25,15344.5,15343.25,15344.25,15343.85376,15343.55,9,19.1
2023-07-03T21:09:00-04:00,15344,15345.25,15343,15345,15344.02357,15344,26,19.65
